Torneo,Año,Equipo,J. Jug.,J. Gan.,J. Emp.,J. Per.,G. Fav.,G. Con.,Dif,Puntos,PFM,% Des,Campeon
Clausura,2005,Morelia,17,11,2,4,27,16,11,35,68.6,1.555,no
Clausura,2005,Cruz Azul,17,9,4,4,36,19,17,31,60.8,1.355,no
Clausura,2005,América,17,7,9,1,38,27,11,30,58.8,1.655,no
Clausura,2005,UAG,17,8,5,4,31,21,10,29,56.9,1.182,no
Clausura,2005,Necaxa,17,9,1,7,28,20,8,28,54.9,1.355,no
Clausura,2005,Santos,17,9,1,7,31,31,0,28,54.9,1.4,no
Clausura,2005,Monterrey,17,8,3,6,24,25,-1,27,52.9,1.364,no
Clausura,2005,Dorados,17,7,5,5,23,20,3,26,51,1.235,no
Clausura,2005,Tigres,17,6,6,5,25,19,6,24,47.1,1.5,no
Clausura,2005,Guadalajara,17,6,5,6,29,31,-2,23,45.1,1.573,no
Clausura,2005,Toluca,17,6,5,6,17,22,-5,23,45.1,1.691,no
Clausura,2005,Jaguares,17,6,4,7,19,23,-4,22,43.1,1.255,no
Clausura,2005,Atlante,17,5,5,7,24,21,3,20,39.2,1.464,no
Clausura,2005,Pachuca,17,5,5,7,20,27,-7,20,39.2,1.364,no
Clausura,2005,Puebla,17,4,4,9,19,29,-10,16,31.4,1.045,no
Clausura,2005,UNAM,17,4,2,11,19,28,-9,14,27.5,1.536,no
Clausura,2005,Veracruz,17,3,5,9,16,33,-17,14,27.5,1.3,no
Clausura,2005,Atlas,17,2,5,10,21,35,-14,11,21.6,1.291,no
Apertura,2005,América,17,12,2,3,34,22,12,38,74.5,1.663,no
Apertura,2005,Monterrey,17,10,5,2,32,20,12,35,68.6,1.449,no
Apertura,2005,Necaxa,17,9,4,4,35,31,4,31,60.8,1.472,no
Apertura,2005,Cruz Azul,17,9,3,5,34,20,14,30,58.8,1.427,no
Apertura,2005,Toluca,17,9,3,5,27,21,6,30,58.8,1.596,si
Apertura,2005,Pachuca,17,7,7,3,26,18,8,28,54.9,1.596,no
Apertura,2005,UAG,17,7,3,7,27,28,-1,24,47.1,1.326,no
Apertura,2005,Jaguares,17,5,8,4,30,27,3,20,45.1,1.416,no
Apertura,2005,Tigres,17,6,4,7,30,25,5,22,43.1,1.461,no
Apertura,2005,Atlas,17,6,3,8,22,24,-2,21,41.2,1.225,no
Apertura,2005,Santos,17,5,5,7,31,31,0,20,39.2,1.326,no
Apertura,2005,Morelia,17,6,2,9,27,29,-2,20,39.2,1.393,no
Apertura,2005,Guadalajara,17,4,7,6,16,22,-6,19,37.3,1.506,no
Apertura,2005,Dorados,17,5,3,9,20,31,-11,18,35.3,1.176,no
Apertura,2005,San Luís,17,4,4,9,18,25,-7,16,31.4,0.941,no
Apertura,2005,UNAM,17,4,4,9,17,34,-17,16,31.4,1.483,no
Apertura,2005,Atlante,17,4,3,10,29,37,-8,15,29.4,1.315,no
Apertura,2005,Veracruz,17,3,6,8,24,34,-10,15,29.4,1.213,no
Clausura,2006,Pachuca,17,9,4,4,33,19,14,31,60.8,1.632,si
Clausura,2006,Jaguares,17,9,3,5,28,18,10,30,58.8,1.443,no
Clausura,2006,Cruz Azul,17,9,3,5,29,20,9,30,58.8,1.481,no
Clausura,2006,Atlante,17,8,3,6,19,15,4,27,52.9,1.358,no
Clausura,2006,San Luís,17,7,4,6,23,19,4,25,49,1.206,no
Clausura,2006,Toluca,17,7,3,7,22,19,3,24,47.1,1.566,no
Clausura,2006,Guadalajara,17,6,5,6,19,26,-7,23,45.1,1.481,no
Clausura,2006,Dorados,17,4,10,3,24,24,0,22,43.1,1.206,no
Clausura,2006,Morelia,17,5,7,5,19,20,-1,22,43.1,1.377,no
Clausura,2006,UNAM,17,5,7,5,15,16,-1,22,43.1,1.453,no
Clausura,2006,UAG,17,6,4,7,18,29,-11,22,43.1,1.321,no
Clausura,2006,Tigres,17,4,9,4,15,15,0,21,41.2,1.425,no
Clausura,2006,América,17,6,3,8,20,23,-3,21,41.2,1.594,no
Clausura,2006,Atlas,17,5,5,7,23,23,0,20,39.2,1.217,no
Clausura,2006,Veracruz,17,5,5,7,16,19,-3,20,39.2,1.208,no
Clausura,2006,Monterrey,17,5,3,9,17,21,-4,18,35.3,1.387,no
Clausura,2006,Santos,17,3,9,5,20,25,-5,18,35.3,1.283,no
Clausura,2006,Necaxa,17,5,3,9,19,28,-9,18,35.3,1.406,no
Apertura,2006,Cruz Azul,17,9,3,5,27,20,7,30,58.8,1.612,no
Apertura,2006,UNAM,17,8,5,4,21,11,10,29,56.9,1.224,no
